prod_nm,geng,ageg,jobseg,ctr,bnnr_id,impression_cnt,click_cnt,prsnl_cntnt_title,mkt_phrase,team_id
codek_freeaccount,여성,20대,학생,0.8,831,1000,8,수신_개인화_적금2301_02,"카드값에 놀라신 고객님들, 돈 모으기의 기본은 저축이에요",deposit
codek_freeaccount,여성,20대,학생,0.3847078624669391,866,4159,16,수신_개인화홈_코드적금01,쇼핑자금 그대로 적금에 넣어요 물가상승 실감하시죠?,deposit
codek_freeaccount,여성,20대,학생,0.2499838372519018,1184,46403,116,홈개인화_수신_2304_02,매달 월급이 통장을 스친다면? 이제부터 저축하면 되죠 [긴급] 생활비 점검 타이밍,deposit
codek_freeaccount,여성,20대,학생,1.0012604942088614,1281,42047,421,개인화홈_수신_코드적금2023_02,[News] 이제 1개월짜리 적금도 만들 수 있답니다,deposit
codek_freeaccount,여성,20대,학생,0.4710632570659488,830,8916,42,수신_개인화_적금2301_01,"목돈을 모으던 푼돈을 모으던, 모은다는 것에 의미가 있어요 올해는 저축하는 습관 만들기!",deposit
codek_freeaccount,여성,20대,학생,0.3147235905856595,895,7308,23,수신_홈개인_코드적금2302,단순하고 쉬운게 좋다면? 코드K 자유적금이 딱이에요 복잡한 우대조건 필요 없어요,deposit
codek_freeaccount,여성,20대,학생,0.6104719417703687,865,4259,26,수신_개인화홈_코드적금01,적금 하나 더 가입해볼까? 얼어붙은 경기에 금리는 좋고,deposit
togetheraccount,여성,20대,학생,1.162790697674419,1929,86,1,개인화_홈_모임통장1,모임통장으로 모임비 키워요 모임은 Fun하게 통장은 편하게,marketing
togetheraccount,여성,20대,학생,0.4099760847283908,1930,5854,24,개인화_홈_모임통장1,모이면 모일수록 금리가 올라가요,marketing
togetheraccount,여성,20대,학생,0.3745318352059925,1931,1335,5,개인화_홈_모임통장1,"모이기만 해도 연 2.3%(300만원까지) 모임비 플러스로 연 10.00%까지(최고금리, 세전)",marketing
coin_info,남성,40대,전문직,0.5813953488372093,929,172,1,개인화_홈_시세조회1,다른 앱 필요없이 간편하게 시세를 조회하세요.,marketing
coin_info,남성,40대,전문직,1.095890410958904,949,365,4,개인화_홈_시세조회2,"{CUST_FULL_NM}님, 케이뱅크 앱에서도 코인시세조회 가능하세요.",marketing
coin_info,남성,40대,전문직,0.32,1929,625,2,개인화_홈_시세조회3,케이뱅크 앱에서 편리하게 시세조회하세요.,marketing
